address,booth_number,brands,category,country,description,email,exhibitor_name,exhibitor_url,facebook,fax,hall_location,instagram,linkedin,manufacturers,phone,show_date,show_name,show_website,twitter,website
"MORBI,, Gujarat, India",1831,,"Tile, Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,,,VELSAA VITRIFIED LLP,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=322&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381463&fromFeatured=1,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,info@velsaavitrified.com
"BILECIK,, Turkey",4722,,"Stone - Limestone, Stone - Marble, Stone - Moldings, Stone - Mosaic, Stone - Stone Tile",,"Dynamism & competency are the main characteristics of AYA STONE. In this new facilities and quarries, AYA STONE puts into practise the highest technologies so as to meet all the most exacting demands though the world of the natural stone. Ours in an active service whose major goal is to be obedient to the demands of the each and every one of our customers. AYA STONE has a highly wide range of materials, finishings and colors to carry out all types of decorative and constructive projects.",,AYA MADENCILIK SAN. VE TIC. A.S.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=28&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378956,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.ayastone.com
"Burdur,, Turkey",4323,"Bejmer, ASG BEIGE","Stone - Block, Stone - Cut-to-Size, Stone - Marble, Stone - Slab, Stone - Stone Tile",,The thinnest marble tiles on the largest size,,As Gureller Mermer Nak. San.Tic. Ltd. Sti.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=27&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378774,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"Mondolfo,, Pesaro, Italy",2313,ARVEX,"Stone - Mosaic, Stone - Terrazzo, Tile - Glass, Tile - Mosaic, Tile - Stone",,Arvex Mosaic - Italian style worldwide.,,Arvex Italstyle Srl.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=26&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382101,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.arvexmosaic.com
"Izmir,, Turkey",1036,Bayyurt decozene decros,"Stone - Mosaic, Stone - Sinks, Stone - Slab, Stone - Moldings, Stone - Cut-to-Size, Stone - Limestone, Stone - Marble, Stone - Stone Tile, Stone - Travertine, Stone - Tumbled",,wellcome to superior natural stone products and services,,BAYYURT DOĞAL TAŞ SAN. VE DIŞ.TİC.A.Ş.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=34&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380322,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.bayyurt.com
"Newbury  park,, CA, United States",1433,,,,,,AZZARO SURFACES,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=29&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381404,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.azzarosurfaces.com
"Aliquippa,, PA, United States",3719,"ARDEX Tile & Stone Installation Systems
ARDEX FLEXBONE Uncoupling and In-Floor Heating Systems","Allied Products - Adhesives, Allied Products - Backerboard, Allied Products - Grout, Allied Products - Mortars, Allied Products - Shower Pans, Allied Products - Sponges, Allied Products - Tools, Allied Products - Underlayment, Allied Products - Waterproofing, Miscellaneous - Floor Heating Systems",,"With more than 60 years of global innovation leadership, ARDEX Tile & Stone Installation Systems deliver high-performance solutions for the most demanding tile and stone installations including large format tile, glass tile, super format-thin tiles, submerged applications, natural stone, stone veneer and exterior installations. ",,ARDEX Americas / DTA,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=23&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380453,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.ardexamericas.com
"Athens,, Greece",433,"WHITES Thassos, Stellar, Pegasus, Pentelikon, Volakas, Spoleto & more; GREYS Martino, Sorrento, Monterey, Pewter; AND Creme Fedora, Trizina Silver, Corinthian Beige, Castilian Black, Cypress Limestone","Stone - Limestone, Stone - Marble, Stone - Mosaic, Stone - Slab, Stone - Stone Tile",,Apollo Stone Imports: the most popular stones & great prices,,Apollo Stone Imports Inc.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=22&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379870,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.apollostone.com
"Knoxville,, TN, United States",5412,"Raimondi, Alpha, Noble, Emmedue, Talon, Viper, Scorpion, Hercules, Stone Shield, Envy, Mark-E,","Allied Products - Adhesives, Allied Products - Sealers, Equipment & Machinery, Stone, Tile",,Welcome! We carry the products you need to run your business,,"BB Industries, LLC",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=35&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380018,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.bbindustriesllc.com
"Norcross,, GA, United States",619,Yurtbay Seramik,"Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,Allow us to turn your valuable time into a great opportunity,,Yurtbay Seramik,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=332&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381589,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.yurtbayseramik.com/
"Centreville,, VA, United States",2846,"travertine, marble, silver travertine, gohara, pietra grey, onyx, walnut travertine, dolomite marble, silver shadow marble ,mugla white, dark emperador, light emperador, marmara marble, mosaics,","Stone, Stone - Marble, Stone - Slab, Stone - Stone Tile, Tile - Stone",,ARIA provider of premium natural stones,,Aria Marble,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=25&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381956,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.ariamarble.com
"ORANGE,, CA, United States",241,Nirvana Quartz,"Stone, Stone - Granite, Stone - Marble, Stone - Onyx, Stone - Slab",,"We're ""Rocking The World"" 
Welcome to World Rocks!",,WORLD ROCKS,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=330&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=377095,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.worldrocks.com
"Doral,, FL, United States",2019,Terry Stone,"Stone - Quartzite, Stone - Slab",,Welcome to our Booth! Find Better in Here!,,"XIAMEN TERRY STONE CO., LTD.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=331&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381107,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.terrystone.us/
"Orion Township,, MI, United States",5819,"Robo SawJet, Miter Saw Excel, BACA Edge, BACA BOSS","Equipment & Machinery - Edging, Equipment & Machinery - Fabricating, Equipment & Machinery - Saws, Equipment & Machinery - Water-jet, Equipment & Machinery - CNC Equipment",,BACA Systems - American Stone Automation,,BACA Systems,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=30&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380100,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.BACASystems.com
"Hawthorne,, CA, United States",3330,"Wizard Tile, Valletta, Bison Brick","Tile - Artisan, Tile - Brick",,"Wizard Enterprise specializes in handcrafted ceramic tile and glazed thin brick, available in a wide range of glaze finishes. Designed and produced in their California studios, Wizard tile is a unique handmade made tile offered at affordable prices. Wizard’s team of craftsmen are dedicated to delivering the highest quality handmade tile. Wizard’s vision is to enhance the built environment with ceramics that inspire, comfort, delight, and providing lasting appeal.",,Wizard Enterprise,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=329&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378420,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.wizardenterprise.com
"Bucak,, Burdur, Turkey",4421,,"Stone, Stone - Block, Stone - Cut-to-Size, Stone - Pavers, Stone - Slab",,"Our company has been in operation since April 2005, has been relentlessly working to provide the best service in its field. Domestic and overseas marketing firm has an active network in the market, quality is to act with policy to offer an affordable price.",,BATU MARBLE A.S.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=33&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378818,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.batumarble.com
"Vila-real,, Castellón, Spain",4231,VITACER,"Tile, Tile - Cement, Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor",,We wait for you at our booth 6050,,Vitacer,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=327&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378737,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"West Palm Beach,, FL, United States",2122,,,,,,White House Stone,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=328&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381124,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.whitehousestone.com
"Miami,, FL, United States",4636,,"Tile - Glass, Tile - Mosaic, Tile - Swimming Pool",,THE ART OF DECORATING YOUR DREAMS WITH  MOSAICS,,Vidrepur,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=325&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378925,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.vidrepur.com
"MORBI,, Gujarat, India",1831,,"Tile, Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,,,VELSAA VITRIFIED LLP,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=322&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381463,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,info@velsaavitrified.com
"Waite Park,, MN, United States",3132,,"Allied Products - DIY Products, Allied Products - Tools, Equipment & Machinery - Flooring Equipment, Equipment & Machinery - Profiling, Miscellaneous, Tile, Tile - Floor, Tile - Mosaic, Tile - Porcelain, Tile - Trims",,,,Ventiques,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=323&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380458,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.ventiques.com
"Alcora,, Castellón, Spain",5127,"UNDEFASA
UNDEFASAPORCELANICO
","Tile, Tile - Ceramic (Glazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,always ceramics,,Undefasa,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=320&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379134,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.undefasa.com
"Valley View,, TX, United States",247,,"Tile - Ceramic (Glazed), Tile - Glass, Tile - Mosaic, Tile - Porcelain, Tile - Wall",,,,Valley View Ceramics,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=321&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380812,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.valleyviewceramics.com
