exhibitor_name,booth_number,exhibitor_url,category,address,description,website,instagram,facebook,twitter,linkedin
Quis Machinery Inc.,1101,https://www.furnituremanufacturingexpo.com/exhibitors/quis-machinery-inc,Distributors | Furniture Manufacturing Machinery | Wood Process Machinery,"Asheville, NC, United States","Quis Machinery uses our expertise in production to provide the manufacturing industry with solutions to help improve their people, products, and processes.",https://www.quismachinery.com/,https://www.instagram.com/quismachinery/,https://www.facebook.com/quismachinery,,https://www.linkedin.com/company/quis-machinery-inc/
Preferred Furniture Components,1105,https://www.furnituremanufacturingexpo.com/exhibitors/preferred-furniture-components,Distributors | Hardware & Components | Supplies | Yarns / Threads,"High Point, NC, United States",,,,,,
Power Adhesives,1222,https://www.furnituremanufacturingexpo.com/exhibitors/power-adhesives,,"Charlotte, NC, United States",,,,,,
Pathfinder Advanced Cutting Technology,1005,https://www.furnituremanufacturingexpo.com/exhibitors/pathfinder-advanced-cutting-technology,,"Hickory, NC, United States",,,,,,
Novita Home Furnishing,1518,https://www.furnituremanufacturingexpo.com/exhibitors/novita-home-furnishing,,"Mineola, NY, United States",,http://novita.us,,,,
Northwood Machine Mfg. Co.,1114,https://www.furnituremanufacturingexpo.com/exhibitors/northwood-machine-mfg-co,,"Louisville, KY, United States",,http://www.northwoodmachine.com,,,,
NCSU Wood Products Ext.,1122,https://www.furnituremanufacturingexpo.com/exhibitors/ncsu-wood-products-ext,,"Raleigh, North Carolina, United States",,https:outreach.c nr.ncsu.edu/ncwood,,,,
Mocean First | Pottker USA | Bartimaeus by Design,1505,https://www.furnituremanufacturingexpo.com/exhibitors/mocean-first-pottker-usa-bartimaeus-by-design,Contract Manufacturing | Distributors | Furniture / Bedding Mechanisms | Hardware & Components | Supplies,"Thomasville, NC, United States",,,,,,
LINC Systems,1316,https://www.furnituremanufacturingexpo.com/exhibitors/linc-systems,Distributors | Hardware & Components | Labels | Packaging | Racking Systems | Supplies,"Westfield, IN, United States", ,http://www.lincsystems.com,,https://www.facebook.com/LINCSystemsInc,,https://www.linkedin.com/company/linc-systems_2/?viewAsMember=true
Lee's Decorative Showcase | DADS Nails,1501,https://www.furnituremanufacturingexpo.com/exhibitors/lees-decorative-showcase-dads-nails,Distributors | Furniture / Bedding Mechanisms | Hardware & Components | Supplies | Yarns / Threads,"Hickory, NC, United States","Wholesale supplier of decorative furniture nails, wood, acrylic and metal legs, pillow forms, trim and gimp, and many supplies for upholstery.",http://www.leesdec.com,,,,
Lectra,1714,https://www.furnituremanufacturingexpo.com/exhibitors/lectra,Furniture Manufacturing Machinery,"Smyrna, GA, United States","With over 50 years of industry experience, Lectra offers intelligent and connected solutions that set new standards in the automated cutting of fabric and leather. These fully integrated solutions enable a variety of production models while focusing on innovation to support our customers' transformation into the digital age. ",https://www.lectra.com/,,https://www.facebook.com/LectraOfficial,,https://www.linkedin.com/showcase/lectra-furniture/
Kuris USA,1411,https://www.furnituremanufacturingexpo.com/exhibitors/kuris-usa,Cutting & Sewing Equipment | Cutting & Tools For Foam | Distributors | Fabrics / Upholstery | Fibers | Findings / Trims | Foam | Furniture / Bedding Mechanisms | Furniture Manufacturing Machinery | Hardware & Components | Labels | Nonwovens | Packaging | Quilting Machinery | Racking Systems | Research & Development | Supplies | Testing Equipment,"Blountville, TN, United States",,http://www.kurisusa.com,,,,
Kaidi Electrical,1710,https://www.furnituremanufacturingexpo.com/exhibitors/kaidi-electrical,,"Baldwyn, MO, United States",,http://www.kaidielectrical.com,,,,
identiGROW,1130,https://www.furnituremanufacturingexpo.com/exhibitors/identigrow,Labels,"Port Republic, VA, United States","""Identify your product - Grow  your business!"" The vision we live by, and we make that process easy and affordable for you. From small quantities to large, we have a product that works for you and makes you look good to your customers.",http://www.identigrow.com,,,,
Hangman Products,1224,https://www.furnituremanufacturingexpo.com/exhibitors/hangman-products,Hardware & Components,"Simi Valley, CA, United States","Hangman Products is a US hardware manufacturer and supplier to retailers, distributors, and OEM(s).  Most of our products are made, packaged and shipped out of LA factory.  We do have partners in Taiwan and China to service our Asian manufacturers. We provide quality, flexibility, short lead times, and quick responses.",http://www.hangmanproducts.com,https://www.instagram.com/accounts/login/,https://www.facebook.com/hangmanproducts/,https://twitter.com/hangmanproducts,
Hickory Springs ,1315,https://www.furnituremanufacturingexpo.com/exhibitors/hickory-springs-atlanta-attachment,,"Hickory, NC, United States",,,,,,
"Hickory Saw & Tool, Inc.",1223,https://www.furnituremanufacturingexpo.com/exhibitors/hickory-saw-tool-inc,,"Hickory, NC, United States",,,,,,
Highlead | Jack Of The Americas,1617,https://www.furnituremanufacturingexpo.com/exhibitors/highland-jack-of-the-americas,,"Sparta, TN, United States",,,,,,
Henderson Sewing Machine Co. Inc.,1405,https://www.furnituremanufacturingexpo.com/exhibitors/henderson-sewing-machine-co-inc,Cutting & Sewing Equipment | Distributors | Furniture Manufacturing Machinery | Quilting Machinery | Research & Development | Supplies,"Andalusia, AL, United States","Henderson Sewing Machine Co Inc, founded in 1968, is a global supplier of industrial sewing machines, their parts, and custom automated sewing machines for the SEWING PRODUCTS INDUSTRY. We have grown by offering customers the highest quality products at competitive prices with superior customer service.",http://www.hendersonsewing.com,,http://www.facebook.com/HendersonSewing,,
Guardsman,1707,https://www.furnituremanufacturingexpo.com/exhibitors/guardsman,,"Grand Rapids, MI, United States",,,,,,
General Finishes,1008,https://www.furnituremanufacturingexpo.com/exhibitors/general-finishes,,"East Troy, WI, United States",,,,,,
Elof Hansson,1220,https://www.furnituremanufacturingexpo.com/exhibitors/elof-hansson,,"Tarrytown, NY, United States",,,,,,
Fibrix,1524,https://www.furnituremanufacturingexpo.com/exhibitors/fibrix,,"Conover, NC, United States",,,,,,
Fastening Solutions | Encore Hartco,1601,https://www.furnituremanufacturingexpo.com/exhibitors/fastening-solutions-encore-hartco,,"Montgomery, AL, United States",,,,,,
Economic Development Partnership of North Carolina,1023,https://www.furnituremanufacturingexpo.com/exhibitors/economic-development-partnership-of-north-carolina,,"Cary, NC, United States",,http://www.edpnc.com,,,,
Gerber Technology,1400,https://www.furnituremanufacturingexpo.com/exhibitors/gerber-technology,Computer Software / Information Technology | Cutting & Sewing Equipment | Cutting & Tools For Foam | Furniture Manufacturing Machinery | Hardware & Components,"Tolland, CT, United States","For half a century, Gerber Technology has been helping companies around the world develop, manufacture and take their products to market smarter, faster, and more efficiently.",http://www.gerbertechnology.com,,https://www.facebook.com/GerberTechnology,https://twitter.com/gerbertech,https://www.linkedin.com/company/gerber-technology/mycompany/
Fil-Tec,1425,https://www.furnituremanufacturingexpo.com/exhibitors/fil-tec,Yarns / Threads,"Hagerstown, MD, United States","Fil-Tec, Inc is the leading nylon and polyester thread and pre-wound bobbin manufacturer in the U.S. We supply thread and bobbins to well known furniture manufacturers around the globe. Please contact us for thread and bobbin samples at 301-824-6166 or www.fil-tec.com",https://www.fil-tec.com/Furniture,,https://www.facebook.com/FilTecInc,,https://www.linkedin.com/company/fil-tec-inc-/mycompany/
Eastman Machine Company,1611,https://www.furnituremanufacturingexpo.com/exhibitors/eastman-machine-company,Computer Software / Information Technology | Cutting & Sewing Equipment | Cutting & Tools For Foam | Fabrics / Upholstery | Fibers | Foam | Furniture Manufacturing Machinery | Nonwovens,"Buffalo, NY, United States","For over 130 years, Eastman Machine Company has provided furniture manufacturers across the globe with American-made cutting solutions. Eastman offers the widest variety of manually operated and automated cutting systems for traditional fabrics used in furniture, upholstery, and fiberfill. Eastman machinery is proven to reduce labor, increase quality, and maximize material utilization. ",http://www.eastmancuts.com,https://www.instagram.com/eastmancuts/,,https://twitter.com/EastmanMachine,https://www.linkedin.com/company/eastman-machine-company
Digitize Designs,1121,https://www.furnituremanufacturingexpo.com/exhibitors/digitize-designs,Computer Software / Information Technology | Research & Development,"Greenville, SC, United States","Digitize Designs distributes several lines of hand-held metrology grade 3D scanners and software for applications including reverse engineering, quality control, PBR material creation, photorealistic 3D asset creation for use with e-commerce, augmented reality and virtual reality, digital renderings, and many more. ",http://www.digitizedesigns.com,,,,https://www.linkedin.com/company/digitize-designs/?viewAsMember=true
DAP America Inc.,1115,https://www.furnituremanufacturingexpo.com/exhibitors/dap-america-inc,,"Norcross, GA, United States",,,,,,
C.S. Osborne & Co. | Massasoit,1324,https://www.furnituremanufacturingexpo.com/exhibitors/cs-osborne-co-massasoit,,"Harrison, NJ, United States",,,,,,
Crest Leather,1615,https://www.furnituremanufacturingexpo.com/exhibitors/crest-leather,Fabrics / Upholstery | Supplies,"Greensboro, NC, United States","Crest Leather is a leading global producer of high quality upholsery leather for end-use in the residential, contract, hospitality, and design sectors. Headquartered in London, Crest Leather owns and operates tanneries in Italy and Brazil, with further warehouse and distribution facilities in the UK, USA, Canada, and South Africa.",http://www.crestleather.com,https://www.instagram.com/crestleather/,https://www.facebook.com/crestleather,https://twitter.com/crestleather,https://www.linkedin.com/company/crestleatherltd/
"DAPA Products, Inc.",1322,https://www.furnituremanufacturingexpo.com/exhibitors/dapa-products-inc,Fabrics / Upholstery | Findings / Trims | Hardware & Components,"Jasper, AL, United States","DAPA Products, Inc. manufactures products for the Upholstered Furniture industry such as Braided welt cords, Foam welt cords, Lip welt and other types of welt cords.  DAPA also offers products like Edge Rolls and Tack strips and can manufacture custom plastic profiles upon request.",,,,,
Consew,1605,https://www.furnituremanufacturingexpo.com/exhibitors/consew,Computer Software / Information Technology | Cutting & Sewing Equipment | Cutting & Tools For Foam | Foam Fabricating Machinery | Furniture Manufacturing Machinery | Quilting Machinery | Supplies,"Carlstadt, NJ, United States","Consew is a leading manufacture of commercial sewing and cutting machines. Consew products are distributed world wide through dealers that sale and support locally. Focased on heavy duty appications, Consew  best know in the uphostry and mattress industries. Meistergram will be on exhibit with pattern  inserts and embroidery.",http://www.consew.com,,,,
"Card Clothing & Services, Inc.",1329,https://www.furnituremanufacturingexpo.com/exhibitors/cbk-total-solutions,Fibers | Furniture Manufacturing Machinery | Nonwovens | Quilting Machinery,"Kings Mountain, NC, United States","Card Clothing & Services, Inc. (CCS) is a leading US supplier of fiber, foam, down and feather processing equipment. This includes the ",,,,,
Coats,1123,https://www.furnituremanufacturingexpo.com/exhibitors/coats,,"Charlotte, NC, United States",,http://www.coats.com,,,,
Automated Solutions,1711,https://www.furnituremanufacturingexpo.com/exhibitors/automated-solutions,,"Lincolnton, NC, United States",,,,,,
Assembly Tool Specialists,1019,https://www.furnituremanufacturingexpo.com/exhibitors/assembly-tool-specialists,Hardware & Components | Supplies,"Twinsburg, OH, United States","Assembly Tool Specialists, Inc. designs and manufacturers high-quality, unique tools that prevent damage to products and operator injury on the assembly line.",http://www.assytool.com,https://www.instagram.com/assemblytoolspecialists/,,,https://www.linkedin.com/company/assembly-tool-specialists
Atlanta Attachment Company,1315,https://www.furnituremanufacturingexpo.com/exhibitors/atlanta-attachment-company,Adhesives / Finishes / Paints | Computer Software / Information Technology | Cutting & Sewing Equipment | Research & Development,"Lawrenceville, Georgia, United States",,https://www.atlatt.com,,,,
Amann-USA,1704,https://www.furnituremanufacturingexpo.com/exhibitors/amann-usa,Supplies | Yarns / Threads,"Broomfield, CO, United States","Since 1854, AMANN Group has been one of the leading international manufacturers of high-quality sewing threads, embroidery threads and Smart Yarns.  For decades, AMANN USA has been serving the North American market - offering a great level of support and expertise not found elsewhere.",https://www.amannusa.com/,https://www.instagram.com/amann.group/?hl=en,https://www.facebook.com/amann.threads,,https://www.linkedin.com/company/amann-group/
